groupes,reussi,date,contenu,user__username,titre__titre,titre__hashCode
,1,2020-05-04 22:29:55,"def premiereOccurrenceLettre(lettre,mot):
    res=None
    i=0
    while i<len(mot) and res==None:
      if lettre==mot[i]:
        res=i
      i+=1
    return res",student1,premiereOccurrenceLettre,0e0f49f2073ce229d4ecf5c7f38eb773
,0,2020-05-04 22:29:38,"def premiereOccurrenceLettre(lettre,mot):
    res=None
    i=0
    while i<len(mot) and res:
      if lettre==mot[i]:
        res=i
      i+=1
    return res",student1,premiereOccurrenceLettre,0e0f49f2073ce229d4ecf5c7f38eb773
,0,2020-05-04 22:29:30,"def premiereOccurrenceLettre(lettre,mot):
  res=None
  i=0
  while i<len(mot) and res:
    if mot[i]==lettre:
      res=i
    i+=1
  return res",student2,premiereOccurrenceLettre,0e0f49f2073ce229d4ecf5c7f38eb773
,1,2020-05-04 22:29:18,"def premiereOccurrenceLettre(lettre,mot):
    res=None
    i=0
    while i<len(mot) and res==None:
      if lettre==mot[i]:
        res=i
      i+=1
    return res",student1,premiereOccurrenceLettre,0e0f49f2073ce229d4ecf5c7f38eb773
,1,2020-05-04 22:18:14,"def nbOccurrencesLettre(lettre,mot):
  res=0
  for elem in mot:
    if lettre==elem:
      res+=1
  return res",student2,nbOccurrencesLettre,2864c9e5861229d2ff32570f6bc944fb
,1,2020-05-04 22:15:46,"def nbOccurrencesLettre(lettre,mot):
  res=0
  for elem in mot:
    if lettre==elem:
      res+=1
  return res",student1,nbOccurrencesLettre,2864c9e5861229d2ff32570f6bc944fb
,1,2020-05-04 22:11:51,"def ecart(liste):
  if liste==[]:
    res=None
  else:
    maxi=liste[0]
    mini=liste[0]
    for i in range(1,len(liste)):
      if liste[i]<mini:
        mini=liste[i]
      elif liste[i]>maxi:
        maxi=liste[i]
    res=maxi-mini
  return res",student2,ecart,3bd6b5ade783ad5db31a3df820edc748
,0,2020-05-04 22:11:12,"def ecart(liste):
  if liste==[]:
    res=None
  else:
    maxi=liste[0]
    mini=liste[0]
    for i in range(1,len(liste)):
      if liste[i]<mini:
        mini=liste[i]
      elif liste[i]>maxi:
        maxi=liste[i]
  return res",student2,ecart,3bd6b5ade783ad5db31a3df820edc748
,0,2020-05-04 22:10:48,"def ecart(liste):
  if liste==[]:
    res=None
  else:
    maxi=liste[0]
    mini=liste[0]
    res=liste[0]
    for i in range(1,len(liste)):
      if liste[i]<mini:
        mini=liste[i]
      elif liste[i]>maxi:
        maxi=liste[i]
  return res",student2,ecart,3bd6b5ade783ad5db31a3df820edc748
,1,2020-05-04 22:07:14,"def ecart(liste):
  if liste==[]:
    res=None
  else:
    max0=liste[0]
    min0=liste[0]
    for i in range(1,len(liste)):
      if max0<liste[i]:
        max0=liste[i]
      if min0>liste[i]:
        min0=liste[i]
    res=max0-min0
  return res",student1,ecart,3bd6b5ade783ad5db31a3df820edc748
,0,2020-05-04 22:07:02,"def ecart(liste):
  if liste==[]:
    res=None
  else:
    max0=liste[0]
    min0=liste[0]
    for i in range(1,len(liste)):
      if max0<liste[i]:
        max0=lite[i]
      if min0>liste[i]:
        min0=liste[i]
    res=max0-min0
  return res",student1,ecart,3bd6b5ade783ad5db31a3df820edc748
,1,2020-05-04 22:00:21,"def moyenne(liste):
  if liste==[]:
    res=None
  else:
    res=0
    for elem in liste:
      res+=elem
    res/=len(liste)
  return res",student2,moyenne,6fc4a139f72ee6e245b9f97fcc15712e
,0,2020-05-04 22:00:00,"def moyenne(liste):
  if liste==[]:
    res=None
  else:
    res=0
    for elem in liste:
      res+=elem
    res=len(liste)
  return res",student2,moyenne,6fc4a139f72ee6e245b9f97fcc15712e
,0,2020-05-04 21:59:44,"def moyenne(liste):
  if liste==[]:
    res=None
    else:
      res=0
      for elem in liste:
        res+=elem
      res=len(liste)
  return res",student2,moyenne,6fc4a139f72ee6e245b9f97fcc15712e
,1,2020-05-04 21:58:47,"def moyenne(liste):
  if liste==[]:
    res=None
  else:
    res=0
    for elem in liste:
      res+=elem
    res/=len(liste)
  return res",student1,moyenne,6fc4a139f72ee6e245b9f97fcc15712e
,0,2020-05-04 21:58:35,"def moyenne(liste):
  if liste==[]:
    res=None
  res=0
  for elem in liste:
    res+=elem
  res=res/len(liste)
  return res",student2,moyenne,6fc4a139f72ee6e245b9f97fcc15712e
,1,2020-05-04 21:57:17,"def moyenne(liste):
  if liste==[]:
    res=None
  else:
    res=0
    for elem in liste:
      res+=elem
    res=res/len(liste)
  return res",student1,moyenne,6fc4a139f72ee6e245b9f97fcc15712e
